time,open,high,low,close,volume,rsi
2023-02-24 10:00:00,129.83,129.87,129.72,129.8,56764,48.98539810049789
2023-02-24 10:05:00,129.77,129.9542,129.7,129.82,91615,49.62707081364288
2023-02-24 10:10:00,129.84,130.02,129.83,129.95,29699,53.70337376634466
2023-02-24 10:15:00,129.94,130.03,129.85,129.9226,41160,54.708253275371504
2023-02-24 10:20:00,129.95,129.965,129.7,129.71,45946,64.84742660850281
2023-02-24 10:25:00,129.7,129.79,129.56,129.56,29261,75.47589406752525
2023-02-24 10:30:00,129.56,129.73,129.5,129.5825,29841,76.1084489164021
2023-02-24 10:35:00,129.565,129.571,129.39,129.57,27066,77.30134952439577
2023-02-24 10:40:00,129.59,129.69,129.4864,129.55,27636,79.44697247928461
2023-02-24 10:45:00,129.57,129.6036,129.45,129.6036,27261,80.97135406406147
2023-02-24 10:50:00,129.62,129.71,129.57,129.602,17054,81.16487407746452
2023-02-24 10:55:00,129.6,129.61,129.46,129.58,30942,84.14269290964364
2023-02-24 11:00:00,129.54,129.63,129.465,129.61,32234,84.95337841658402
2023-02-24 11:05:00,129.61,129.71,129.6,129.63,20952,85.48610027245958
2023-02-24 11:10:00,129.61,129.835,129.61,129.81,20971,89.19416331006245
2023-02-24 11:15:00,129.8,129.8699,129.74,129.8,21420,90.57868958472096
2023-02-24 11:20:00,129.8,129.89,129.78,129.84,23127,91.16917696764776
2023-02-24 11:25:00,129.84,129.86,129.75,129.8,23233,97.76823206535268
2023-02-24 11:30:00,129.81,129.95,129.81,129.86,22089,98.00186520499975
2023-02-24 11:35:00,129.875,129.97,129.8,129.875,28430,98.05663786594054
2023-02-24 11:40:00,129.86,129.865,129.69,129.73,18073,78.66572462809219
2023-02-24 11:45:00,129.74,130.02,129.735,129.99,29327,85.20588139731653
2023-02-24 11:50:00,130.02,130.27,129.9801,130.26,27338,88.9829228579355
2023-02-24 11:55:00,130.27,130.41,130.16,130.16,24951,80.75907768116795
2023-02-24 12:00:00,130.17,130.2324,130.02,130.04,19612,72.14266715940398
